,score
0,76.27048697335204
1,73.74763583804543
2,69.32117576016162
3,68.30440080597
4,72.09865630743994
5,73.20161927810412
6,72.13769879413562
7,70.90059183031897
8,71.0440573361164
9,73.67635226683952
10,75.85205786731673
11,71.33322533054502
12,71.23937424131266
13,71.55797221464633
14,71.45910014261237
15,72.74880041528183
16,71.06920610768088
17,72.9482889597216
18,67.91529769585588
