Teams_host,,Teams_guest,host,guest
Swansea,vs,Chelsea,0,1
Liverpool,vs,Man City,3,2
Sunderland,vs,Everton,0,1
WBA,vs,Spurs,3,3
Spurs,vs,Sunderland,5,1
West Ham,vs,Liverpool,1,2
Everton,vs,Arsenal,3,0
Chelsea,vs,Stoke,3,0
Hull City,vs,Swansea,1,0
Man City,vs,S'hampton,4,1
Sunderland,vs,West Ham,1,2
Liverpool,vs,Spurs,4,0
Arsenal,vs,Man City,1,1
C. Palace,vs,Chelsea,1,0
Stoke,vs,Hull City,1,0
Liverpool,vs,Sunderland,2,1
West Ham,vs,Hull City,2,1
Man Utd,vs,Man City,0,3
Arsenal,vs,Swansea,2,2
Spurs,vs,S'hampton,3,2
West Ham,vs,Man Utd,0,2
Everton,vs,Swansea,3,2
Hull City,vs,WBA,2,0
Chelsea,vs,Arsenal,6,0
Spurs,vs,Arsenal,0,1
Man Utd,vs,Liverpool,0,3
Stoke,vs,West Ham,3,1
Sunderland,vs,C. Palace,0,0
Swansea,vs,WBA,1,2
Hull City,vs,Man City,0,2
Chelsea,vs,Spurs,4,0
C. Palace,vs,S'hampton,0,1
WBA,vs,Man Utd,0,3
Swansea,vs,C. Palace,1,1
S'hampton,vs,Liverpool,0,3
Everton,vs,West Ham,1,0
Stoke,vs,Arsenal,1,0
Liverpool,vs,Swansea,4,3
C. Palace,vs,Man Utd,0,2
West Ham,vs,S'hampton,3,1
Arsenal,vs,Sunderland,4,1
Man City,vs,Stoke,1,0
Chelsea,vs,Everton,1,0
Stoke,vs,Swansea,1,1
Arsenal,vs,Man Utd,0,0
WBA,vs,Chelsea,1,1
Hull City,vs,S'hampton,0,1
Spurs,vs,Everton,1,0
Sunderland,vs,Hull City,0,2
C. Palace,vs,WBA,3,1
S'hampton,vs,Stoke,2,2
Liverpool,vs,Arsenal,5,1
Man City,vs,Chelsea,0,1
Arsenal,vs,C. Palace,2,0
WBA,vs,Liverpool,1,1
Hull City,vs,Spurs,1,1
Stoke,vs,Man Utd,2,1
West Ham,vs,Swansea,2,0
Sunderland,vs,Stoke,1,0
Spurs,vs,Man City,1,5
Chelsea,vs,West Ham,0,0
Liverpool,vs,Everton,4,0
C. Palace,vs,Hull City,1,0
S'hampton,vs,Arsenal,2,2
WBA,vs,Everton,1,1
Chelsea,vs,Man Utd,3,1
Swansea,vs,Spurs,1,3
C. Palace,vs,Stoke,1,0
Sunderland,vs,S'hampton,2,2
Stoke,vs,Liverpool,3,5
Man Utd,vs,Swansea,2,0
S'hampton,vs,WBA,1,0
Spurs,vs,C. Palace,2,0
Hull City,vs,Chelsea,0,2
Man Utd,vs,Spurs,1,2
Stoke,vs,Everton,1,1
S'hampton,vs,Chelsea,0,3
Liverpool,vs,Hull City,2,0
Swansea,vs,Man City,2,3
Spurs,vs,Stoke,3,0
Chelsea,vs,Liverpool,2,1
Everton,vs,S'hampton,2,1
Man City,vs,C. Palace,1,0
West Ham,vs,WBA,3,3
Man City,vs,Liverpool,2,1
Chelsea,vs,Swansea,1,0
Spurs,vs,WBA,1,1
Everton,vs,Sunderland,0,1
West Ham,vs,Arsenal,1,3
Hull City,vs,Man Utd,2,3
Arsenal,vs,Chelsea,0,0
Swansea,vs,Everton,1,2
S'hampton,vs,Spurs,2,3
WBA,vs,Hull City,1,1
Man Utd,vs,West Ham,3,1
Spurs,vs,Liverpool,0,5
Hull City,vs,Stoke,0,0
Chelsea,vs,C. Palace,2,1
West Ham,vs,Sunderland,0,0
Man City,vs,Arsenal,6,3
Swansea,vs,Hull City,1,1
Arsenal,vs,Everton,1,1
Sunderland,vs,Spurs,1,2
Stoke,vs,Chelsea,3,2
Liverpool,vs,West Ham,4,1
S'hampton,vs,Man City,1,1
WBA,vs,Man City,2,3
Man Utd,vs,Everton,0,1
Arsenal,vs,Hull City,2,0
Sunderland,vs,Chelsea,3,4
C. Palace,vs,West Ham,1,0
Chelsea,vs,S'hampton,3,1
Man City,vs,Swansea,3,0
Hull City,vs,Liverpool,3,1
Spurs,vs,Man Utd,2,2
Everton,vs,Stoke,4,0
Man City,vs,Spurs,6,0
West Ham,vs,Chelsea,0,3
Hull City,vs,C. Palace,0,1
Stoke,vs,Sunderland,2,0
Arsenal,vs,S'hampton,2,0
Everton,vs,Liverpool,3,3
